的	テキ ・ まと	bull's eye; mark; target; object; adjective ending	general
展	テン	unfold; expand	general
店	テン ・ みせ ・ たな	store; shop	general
転	テン ・ ころがる ・ ころげる ・ ころがす ・ ころぶ ・ まろぶ ・ うたた ・ うつる ・ くるめく	revolve; turn around; change	general
点	テン ・ つける ・ つく ・ たてる ・ さす ・ とぼす ・ ともす ・ ぼち	spot; point; mark; speck; decimal point	general
伝	デン ・ テン ・ つたわる ・ つたえる ・ つたう ・ つだう ・ -づたい ・ つて	transmit; go along; walk along; follow; report; communicate; legend; tradition	general
田	デン ・ た	rice field; rice paddy	general
電	デン	electricity	general
注	チュウ ・ そそぐ ・ さす ・ つぐ	pour; irrigate; shed (tears); flow into; concentrate on; notes; comment; annotate	general
段	ダン ・ タン	grade; steps; stairs	general
男	ダン ・ ナン ・ おとこ ・ お	male	general
談	ダン	discuss; talk	general
知	チ ・ しる ・ しらせる	know; wisdom	general
地	チ ・ ジ	ground; earth	general
置	チ ・ おく ・ -おき	placement; put; set; deposit; leave behind; keep; employ; pawn	general
着	チャク ・ ジャク ・ きる ・ -ぎ ・ きせる ・ -きせ ・ つく ・ つける	don; arrive; wear; counter for suits of clothing	general
中	チュウ ・ なか ・ うち ・ あたる	in; inside; middle; mean; center	general
断	ダン ・ たつ ・ ことわる ・ さだめる	severance; decline; refuse; apologize; warn; dismiss; prohibit; decision; judgement; cutting	general
宅	タク	home; house; residence; our house; my husband	general
沢	タク ・ さわ ・ うるおい ・ うるおす ・ つや	swamp	general
達	タツ ・ ダ ・ -たち	accomplished; reach; arrive; attain	general
担	タン ・ かつぐ ・ になう	shouldering; carry; raise; bear	general
団	ダン ・ トン ・ かたまり ・ まるい	group; association	general
代	ダイ ・ タイ ・ かわる ・ かわる ・ かわり ・ -がわり ・ かえる ・ よ ・ しろ	substitute; change; convert; replace; period; age; counter for decades of ages, eras, etc.; generation; charge; rate; fee	general
台	ダイ ・ タイ ・ うてな ・ われ ・ つかさ	pedestal; a stand; counter for machines and vehicles	general
大	ダイ ・ タイ ・ おお- ・ おおきい ・ -おおいに	large; big	general
第	ダイ ・ テイ	No.; residence	general
題	ダイ	topic; subject	general
退	タイ ・ しりぞく ・ しりぞける ・ ひく ・ のく ・ のける ・ どく	retreat; withdraw; retire; resign; repel; expel; reject	general
待	タイ ・ まつ ・ -まち	wait; depend on	general
態	タイ ・ わざと	attitude; condition; figure; appearance; voice (of verbs)	general
体	タイ ・ テイ ・ からだ ・ かたち	body; substance; object; reality; counter for images	general
対	タイ ・ ツイ ・ あいて ・ こたえる ・ そろい ・ つれあい ・ ならぶ ・ むかう	vis-a-vis; opposite; even; equal; versus; anti-; compare	general
想	ソウ ・ ソ ・ おもう	concept; think; idea; thought	general
早	ソウ ・ サッ ・ はやい ・ はや ・ はや- ・ はやまる ・ はやめる ・ さ-	early; fast	general
争	ソウ ・ あらそう ・ いかでか	contend; dispute; argue	general
相	ソウ ・ ショウ ・ あい-	inter-; mutual; together; each other; minister of state; councillor; aspect; phase; physiognomy	general
総	ソウ ・ すべて ・ すべて ・ ふさ	general; whole; all; full; total	general
送	ソウ ・ おくる	escort; send	general
