Order,id,kanji_name,kanji_meaning,strokes,grade,newspaper_frequency,jlpt_level,jinmeiyo,twitter_frequency,aozora_frequency,wikipedia_frequency,news_frequency,sum,missing_column,# strokes bonus,TOTAL SCORE,top 100,,top 100 bonus,Not Jouyou Penalty
142,773,止,stop,4,2,311,4,0,344,391,324,259,994,no,472,522,1,,10000,0
143,1192,戦,war,13,4,208,3,0,196,291,41,39,526,no,0,526,,,0,0
144,1748,夫,husband,4,4,79,3,0,255,144,439,602,1001,no,472,529,1,,10000,0
145,957,書,write,10,2,251,5,1,235,49,112,251,535,no,0,535,,,0,0
146,433,業,business,13,3,401,4,0,165,312,53,60,537,no,0,537,,,0,0
147,820,次,next,6,3,305,3,0,197,142,216,203,542,no,0,542,,,0,0
148,1658,八,eight,2,1,81,5,1,405,139,423,588,1132,no,589,543,1,,10000,0
149,371,久,long time,3,5,921,2,0,102,452,405,544,1098,no,553,545,,,0,0
150,1800,平,flat,5,3,64,3,0,292,125,103,129,546,no,0,546,,,0,0
151,1666,反,anti-,4,3,85,3,0,457,342,434,223,1022,no,472,550,,,0,0
152,1500,都,metropolis,11,3,137,3,0,32,410,136,109,551,no,0,551,,,0,0
153,1750,付,attach,5,4,78,3,0,152,232,225,176,560,no,0,560,,,0,0
154,1947,面,face,9,3,43,3,0,127,91,182,352,570,no,0,570,,,0,0
155,634,校,school,10,1,349,5,1,89,212,52,273,574,no,0,574,,,0,0
156,587,五,five,4,1,363,5,1,637,72,475,345,1054,no,472,582,1,,10000,0
157,998,勝,win,12,3,254,3,0,131,422,162,32,585,no,0,585,,,0,0
158,520,決,decide,7,3,374,3,0,265,266,266,56,587,no,0,587,,,0,0
159,1067,真,true,10,3,242,4,0,96,145,278,351,592,no,0,592,,,0,0
160,609,向,over there,6,3,355,3,0,328,112,330,160,600,no,0,600,,,0,0
161,1426,調,investigate,15,3,141,3,0,223,285,368,96,604,no,0,604,,,0,0
162,875,主,master,5,3,284,4,0,393,88,74,128,609,no,0,609,1,,10000,0
163,1117,正,correct,5,1,218,4,0,335,99,149,186,620,no,0,620,,,0,0
164,1042,食,"eat, meal",9,2,235,5,1,42,167,483,411,620,no,0,620,,,0,0
165,521,結,tie,12,4,375,1,0,151,200,210,272,623,no,0,623,,,0,0
166,1821,変,change,9,4,67,3,0,92,178,224,353,623,no,0,623,,,0,0
167,599,工,craft,3,2,357,4,0,470,411,234,297,1178,no,553,625,1,,10000,0
168,1120,西,west,6,2,222,5,1,159,314,129,156,629,no,0,629,,,0,0
169,1716,美,beauty,9,3,92,3,0,106,151,184,372,629,no,0,629,,,0,0
170,245,活,active,9,2,456,3,0,232,182,223,216,630,no,0,630,,,0,0
171,906,終,end,11,3,279,4,0,73,381,263,178,632,no,0,632,,,0,0
172,1417,朝,morning,12,2,139,4,0,105,223,269,305,633,no,0,633,,,0,0
173,1407,町,town,7,1,140,4,0,175,244,75,215,634,no,0,634,,,0,0
174,1886,北,north,5,2,59,5,1,126,459,101,63,648,no,0,648,1,,10000,0
175,28,位,rank,7,4,488,3,0,226,365,125,57,648,no,0,648,,,0,0
176,422,教,teach,11,2,399,4,0,233,186,126,230,649,no,0,649,,,0,0
177,918,十,ten,2,1,273,5,1,638,33,378,568,1239,no,589,650,1,,10000,0
178,1030,情,feelings,11,5,231,3,0,290,159,293,205,654,no,0,654,,,0,0
179,772,支,branch,4,5,309,3,0,608,350,337,168,1126,no,472,654,,,0,0
180,1641,白,white,5,1,100,5,1,145,96,356,414,655,no,0,655,1,,10000,0
181,1494,電,electricity,13,2,156,5,1,104,385,158,169,658,no,0,658,,,0,0
182,2140,和,peace,8,3,5,3,0,256,195,71,210,661,no,0,661,,,0,0
183,1848,法,method,8,4,55,3,0,385,181,124,98,664,no,0,664,,,0,0
184,1667,半,half,5,2,84,5,1,231,250,452,183,664,no,0,664,,,0,0
185,178,画,tableau,8,2,481,4,0,103,319,37,246,668,no,0,668,,,0,0
186,613,考,think,6,2,352,4,0,227,97,206,347,671,no,0,671,,,0,0
187,679,込,crowded,5,10,840,3,0,297,183,520,200,680,no,0,680,1,,10000,0
188,456,区,ward,4,3,394,2,0,52,944,117,159,1155,no,472,683,1,,10000,0
189,327,記,write down,10,2,414,3,0,365,174,51,144,683,no,0,683,,,0,0
190,146,可,possible,5,5,476,,0,110,297,335,276,683,no,0,683,,,0,0
191,348,機,machine,16,4,426,3,0,301,265,97,121,687,no,0,687,,,0,0
192,239,楽,pleasure,13,2,453,4,0,29,269,176,389,687,no,0,687,,,0,0
193,1108,数,number,13,2,229,3,0,319,226,120,143,688,no,0,688,,,0,0
194,1798,聞,hear,14,2,63,5,1,166,78,420,450,694,no,0,694,,,0,0
195,912,集,collect,12,3,271,4,0,247,252,166,199,698,no,0,698,,,0,0
196,1962,問,question,11,3,35,4,0,384,177,357,153,714,no,0,714,,,0,0
197,164,過,go beyond,12,5,480,3,0,192,242,371,280,714,no,0,714,,,0,0
198,1060,信,trust,9,4,236,3,0,270,175,204,271,716,no,0,716,,,0,0
199,2037,落,fall,12,3,13,3,0,250,165,468,302,717,no,0,717,,,0,0
200,1298,打,hit,5,3,197,3,0,353,276,478,94,723,no,0,723,,,0,0
201,331,帰,return,10,2,926,4,0,55,149,491,526,730,no,0,730,,,0,0
202,788,使,use,8,3,327,4,0,182,313,171,236,731,no,0,731,,,0,0
203,1057,身,body,7,3,245,,0,321,68,148,343,732,no,0,732,,,0,0
204,2016,様,formal title,14,3,23,3,0,99,58,329,575,732,no,0,732,,,0,0
205,328,起,wake up,10,3,415,4,0,170,205,428,357,732,no,0,732,,,0,0
206,2153,王,king,4,1,973,3,0,396,370,179,443,1209,no,472,737,1,,10000,0
207,923,重,heavy,9,3,274,4,0,342,196,199,209,747,no,0,747,,,0,0
208,2061,流,stream,10,3,18,3,0,282,207,307,258,747,no,0,747,,,0,0
209,2012,葉,leaf,12,3,21,3,0,160,126,366,461,747,no,0,747,,,0,0
210,184,回,times,6,2,484,3,0,53,653,81,42,748,no,0,748,1,,10000,0
211,1325,台,pedestal,5,2,173,4,0,241,373,219,138,752,no,0,752,1,,10000,0
212,1385,着,wear,12,3,164,4,0,161,187,403,404,752,no,0,752,,,0,0
213,148,何,what,7,2,473,5,1,50,18,669,685,753,no,0,753,1,,10000,0
214,1485,店,shop,8,2,151,4,0,34,380,280,339,753,no,0,753,,,0,0
215,1339,達,attain,12,4,169,3,0,93,180,429,482,755,no,0,755,,,0,0
216,570,古,old,5,2,861,4,0,230,218,246,309,757,no,0,757,1,,10000,0
217,1691,番,one's turn,12,2,86,3,0,134,325,95,307,766,no,0,766,,,0,0
218,790,始,begin,8,3,316,4,0,225,293,303,250,768,no,0,768,,,0,0
219,77,運,carry,12,3,457,4,0,218,330,231,225,773,no,0,773,,,0,0
220,202,解,untie,13,5,483,3,0,305,234,284,234,773,no,0,773,,,0,0
221,1429,直,straight,8,2,143,3,0,275,179,323,319,773,no,0,773,,,0,0
222,15,愛,love,13,4,987,3,0,57,214,270,504,775,no,0,775,,,0,0
223,45,違,differ,13,10,492,3,0,150,221,700,417,788,no,0,788,,,0,0
224,595,語,language,14,2,360,5,1,257,185,91,349,791,no,0,791,,,0,0
225,1230,早,early,6,1,183,4,0,95,229,683,467,791,no,0,791,,,0,0
226,145,加,add,5,4,475,3,0,279,351,164,163,793,no,0,793,,,0,0
227,611,好,like,6,4,356,3,0,54,193,593,546,793,no,0,793,,,0,0
228,1929,民,people,5,4,45,3,0,454,249,161,92,795,no,0,795,,,0,0
229,1411,張,stretch,11,5,138,1,0,49,271,577,476,796,no,0,796,,,0,0
230,1327,題,topic,18,3,176,4,0,288,268,296,243,799,no,0,799,,,0,0
231,787,私,me,7,6,314,4,0,111,15,609,675,801,no,0,801,,,0,0
232,1290,村,village,7,1,195,2,0,410,184,87,217,811,no,0,811,,,0,0
233,888,受,accept,8,3,276,3,0,372,308,245,142,822,no,0,822,,,0,0
234,1274,足,foot,7,1,192,4,0,208,128,499,494,830,no,0,830,,,0,0
235,2007,要,need,9,4,11,3,0,427,240,142,164,831,no,0,831,,,0,0
236,386,宮,Shinto shrine,10,3,420,1,0,210,379,249,248,837,no,0,837,,,0,0
237,1964,夜,night,8,2,37,4,0,135,113,608,590,838,no,0,838,,,0,0
238,194,界,world,9,3,442,4,0,368,304,186,167,839,no,0,839,,,0,0
239,494,経,manage,11,5,370,3,0,415,315,157,111,841,no,0,841,,,0,0
240,1816,別,separate,7,4,66,4,0,362,191,165,293,846,no,0,846,,,0,0
241,1982,友,friend,4,2,548,5,1,238,340,621,747,1325,no,472,853,,,0,0
242,1740,品,article,9,3,99,4,0,296,283,150,277,856,no,0,856,1,,10000,0
243,1983,有,have,6,3,28,4,0,357,170,228,336,863,no,0,863,,,0,0
244,1121,声,voice,7,2,220,3,0,338,123,380,402,863,no,0,863,,,0,0
245,1071,進,advance,11,3,246,3,0,418,317,316,135,870,no,0,870,,,0,0
246,1286,続,continue,13,4,194,3,0,311,455,251,106,872,no,0,872,,,0,0
247,370,九,nine,2,1,393,5,1,707,233,588,530,1470,no,589,881,1,,10000,0
248,2073,良,good,7,4,513,3,0,64,384,367,435,883,no,0,883,,,0,0
249,1542,頭,head,16,2,116,3,0,242,141,471,501,884,no,0,884,,,0,0
250,1857,報,report,12,5,52,3,0,144,674,198,67,885,no,0,885,,,0,0
251,1025,乗,ride,9,3,265,3,0,169,375,387,346,890,no,0,890,,,0,0
252,982,松,pine,8,4,258,1,0,266,320,212,308,894,no,0,894,,,0,0
253,1308,待,wait,9,3,178,4,0,137,264,904,495,896,no,0,896,,,0,0
254,1151,石,stone,5,1,201,3,0,343,228,250,327,898,no,0,898,1,,10000,0
255,797,指,finger,9,3,308,3,0,403,390,227,105,898,no,0,898,,,0,0
256,728,在,exist,6,5,332,3,0,349,257,115,294,900,no,0,900,,,0,0
257,339,期,period of time,12,3,425,3,0,224,549,141,131,904,no,0,904,,,0,0
258,1922,味,flavor,8,3,44,4,0,75,120,497,710,905,no,0,905,,,0,0
259,775,仕,do,5,3,326,4,0,76,171,637,660,907,no,0,907,,,0,0
260,1201,線,line,15,2,209,2,0,204,457,57,253,914,no,0,914,,,0,0
261,1007,象,elephant,12,4,262,2,0,263,481,601,185,929,no,0,929,,,0,0
262,1561,得,acquire,11,4,122,3,0,520,140,282,278,938,no,0,938,,,0,0
263,991,笑,laugh,10,4,771,3,0,2,155,840,785,942,no,0,942,,,0,0
264,1633,売,sell,7,2,101,4,0,304,461,201,182,947,no,0,947,,,0,0
265,1080,親,parent,16,2,244,4,0,380,148,448,420,948,no,0,948,,,0,0
266,2152,雨,rain,8,1,960,5,1,88,383,1072,479,950,no,0,950,,,0,0
267,1781,福,luck,13,3,74,3,0,156,602,262,194,952,no,0,952,,,0,0
268,1620,馬,horse,10,2,626,3,0,341,161,267,458,960,no,0,960,,,0,0
269,1585,南,south,9,2,102,5,1,258,495,169,208,961,no,0,961,,,0,0
270,605,広,wide,5,2,358,4,0,317,456,241,189,962,no,0,962,,,0,0
271,827,治,govern,8,4,306,3,0,419,284,155,260,963,no,0,963,,,0,0
